"P" "V" "n" "T"
"s1" 2.65 12.2 28.6 13.8
"s2" 0.449 1.58 4.14 2.09
"s3" 2.46 8.39 3.98 63.3
"s4" 3.14 19 11.4 64.1
"s5" 4.59 17.2 30.5 31.6
"s6" 1.4 18.4 20.1 15.6
"s7" 2.28 13 70.7 5.1
"s8" 3.63 8.86 65.8 5.95
"s9" 4.02 6.43 24.4 12.9
"s10" 3.16 5.03 20.2 9.6
"s11" 1.55 14.2 69.2 3.9
"s12" 1.98 18.1 50.5 8.65
"s13" 2.3 13.8 55.8 6.94
"s14" 1.96 9.86 15.5 15.1
"s15" 2.94 17.3 31.4 19.7
"s16" 3.59 14.5 30.9 20.5
"s17" 3.19 1.56 12.1 5.03
"s18" 4.4 13 22.4 31.1
"s19" 2.07 3.8 26.5 3.62
"s20" 1.74 4.12 64.5 1.36
"s21" 2.5 7.6 12.4 18.6
"s22" 1.44 15 48.4 5.45
"s23" 4.28 14.1 0.821 898
"s24" 2.37 13.6 20.5 19.2
"s25" 2.7 19.1 62.2 10.1
"s26" 3.89 13 6.8 90.8
"s27" 3.63 3.04 36.9 3.65
"s28" 1.55 7.01 28 4.72
"s29" 1 7.38 56.4 1.6
"s30" 4.48 18.1 61 16.2
"s31" 1.74 10.5 34.3 6.51
"s32" 0.256 2.09 60 0.109
"s33" 4.47 13.8 26.4 28.6
"s34" 0.311 17.3 60.6 1.08
"s35" 2.98 6.71 60.3 4.04
"s36" 0.163 16.5 64.6 0.505
"s37" 2.9 6.92 15.1 16.1
"s38" 2.6 5.15 25.2 6.48
"s39" 3.89 15.1 42.8 16.8
"s40" 3.6 4.81 10.6 20
"s41" 1.08 5.84 54.4 1.41
"s42" 0.254 2.79 47.6 0.182
"s43" 0.276 7.85 28.8 0.916
"s44" 3.23 12.8 52.4 9.61
"s45" 2.08 16.8 38 11.2
"s46" 0.205 8.61 45.4 0.474
"s47" 2.18 19.5 38.4 13.5
"s48" 2.08 12.1 34.5 8.94
"s49" 1.32 13.4 14.4 15
"s50" 1.66 16.7 7.97 42.4
"s51" 4.93 1.5 26.1 3.45
"s52" 0.718 6.94 31.5 1.93
"s53" 0.902 7.17 54.3 1.45
"s54" 2.17 1.84 8.4 5.81
"s55" 0.655 7.16 70.8 0.808
"s56" 0.881 10.5 65.3 1.72
"s57" 1.18 4.79 12.5 5.48
"s58" 0.512 8.96 9.49 5.89
"s59" 3.45 1.53 19.6 3.28
"s60" 1.91 7.17 68.4 2.44
"s61" 4.64 7.72 49.1 8.88
"s62" 0.406 7.77 54.3 0.708
"s63" 4.06 17.9 1.18 747
"s64" 1.74 10.2 6.04 35.9
"s65" 4.62 7.16 40.6 9.94
"s66" 2.56 5.53 73.9 2.33
"s67" 2.42 6.89 18.8 10.8
"s68" 0.807 10.5 37.3 2.76
"s69" 2.4 5.92 68.6 2.52
"s70" 2.05 17.2 39.4 10.9
"s71" 0.932 14.3 16 10.2
"s72" 4.9 17.7 17 62.2
"s73" 0.764 11.5 15.2 7.06
"s74" 3.35 8.58 37.9 9.23
"s75" 0.867 5.17 10.7 5.09
"s76" 1.94 17 48.7 8.26
"s77" 1.57 5.87 24.5 4.57
"s78" 3.73 3.02 50.3 2.73
"s79" 3.43 7.78 8.46 38.4
"s80" 2.43 2.4 7.33 9.72
"s81" 2.36 4.64 21.3 6.26
"s82" 1.64 2.83 35.5 1.59
"s83" 1.08 6.64 51 1.71
"s84" 0.66 16.1 49.2 2.63
"s85" 1.7 7.81 40.1 4.02
"s86" 4.09 11.9 6.12 96.8
"s87" 4.25 7.11 58.1 6.34
"s88" 2.81 11.7 74.5 5.37
"s89" 1.63 19.6 5.76 67.5
"s90" 2 12.1 25.9 11.4
"s91" 2 15.1 11.7 31.5
"s92" 2.02 8.03 69.3 2.85
"s93" 2.56 19 6.35 93.4
"s94" 4.24 12.2 72 8.78
"s95" 4.47 19.8 56.9 19
"s96" 3.47 17.7 68.2 11
"s97" 3.15 13.1 48.9 10.3
"s98" 0.476 14.4 45.4 1.85
"s99" 2.07 6.18 57.3 2.72
"s100" 4.85 14.9 38 23.1
"s101" 3.62 5.84 70.1 3.68
"s102" 3.59 19.3 34.4 24.5
"s103" 0.74 3.14 37.1 0.764
"s104" 3.86 8.84 2.36 176
"s105" 4 8.77 40.8 10.5
"s106" 0.99 12.5 35.8 4.2
"s107" 4.09 5.25 34.4 7.61
"s108" 3.5 5.42 13.7 16.9
"s109" 1.05 1.43 56.6 0.323
"s110" 0.462 2.45 49.7 0.278
"s111" 3.76 6.59 69.6 4.34
"s112" 2.41 4.08 7.14 16.8
"s113" 2.59 13 35.8 11.4
"s114" 1.74 5.72 42.1 2.88
"s115" 4.15 19 12.8 75.4
"s116" 0.477 19.9 34.6 3.34
"s117" 0.555 18.3 22.7 5.45
"s118" 2.23 7 30.5 6.24
"s119" 1.01 18.7 21.5 10.7
"s120" 3.87 19 25.1 35.7
"s121" 1.83 3.32 65 1.14
"s122" 4.42 9.7 58.6 8.92
"s123" 2.1 19.8 51.6 9.82
"s124" 1.54 6.77 55.5 2.29
"s125" 4.36 12.9 40.7 16.8
"s126" 0.903 18.2 67.7 2.95
"s127" 0.941 16.1 54.7 3.37
"s128" 1.07 6.03 46.6 1.68
"s129" 4.3 3.6 68.6 2.75
"s130" 4.71 2.98 22.4 7.62
"s131" 4.99 9.13 57.6 9.63
"s132" 4.19 11 9.34 60.2
"s133" 3.57 6.64 45.2 6.38
"s134" 1.36 4.55 60.9 1.24
"s135" 2.1 16.4 22 19.1
"s136" 0.325 8.66 68.1 0.504
"s137" 2.82 15.1 54.6 9.5
"s138" 4.44 5.11 1.37 202
"s139" 4.98 3.6 6.83 32
"s140" 1.97 16.6 73.8 5.41
"s141" 1.91 17.3 69.6 5.77
"s142" 3.28 13.7 26 21
"s143" 3.08 9.4 25.4 13.9
"s144" 2.69 1.75 13.5 4.24
"s145" 1.97 14.6 32.9 10.6
"s146" 2.26 2.53 7.92 8.81
"s147" 3.96 12.6 22 27.8
"s148" 2.01 19.9 30.7 15.9
"s149" 3.81 11.7 6.23 87.2
"s150" 0.583 2.17 43.5 0.354
"s151" 2.29 1.02 33.2 0.86
"s152" 1.9 8.02 43.2 4.29
"s153" 1.94 6.75 35.5 4.49
"s154" 4.78 7.72 5.44 82.6
"s155" 2.19 16.5 24.1 18.3
"s156" 4.42 12.4 14.1 47.3
"s157" 0.109 12.1 45.6 0.351
"s158" 0.792 1.33 29 0.442
"s159" 3.91 16.2 63.7 12.1
"s160" 3.63 13.3 20 29.3
"s161" 4.46 19.4 3.43 308
"s162" 1.79 14.1 40 7.67
"s163" 2.14 4.83 2.88 43.8
"s164" 1.07 2.11 13.4 2.04
"s165" 2.47 4.89 66.3 2.22
"s166" 2.56 1.05 17.2 1.89
"s167" 0.711 6.34 35.4 1.55
"s168" 4.87 15 59.3 15
"s169" 2.35 4.22 38.2 3.16
"s170" 3.26 4.83 62.2 3.09
"s171" 2.39 14.7 8.31 51.4
"s172" 3.02 9.13 10.9 30.9
"s173" 3.32 15.6 61.9 10.2
"s174" 3.05 12.5 46 10.1
"s175" 0.979 19.1 0.642 355
"s176" 4.56 11.1 4.84 127
"s177" 0.279 16.2 17.8 3.09
"s178" 3.3 14.2 32.1 17.8
"s179" 0.32 16.3 1.78 35.8
"s180" 1.31 12.2 70 2.77
"s181" 2.27 9.77 2.16 125
"s182" 1.87 6.45 36.4 4.04
"s183" 1.3 6.15 66.3 1.47
"s184" 2.61 16.8 36.5 14.6
"s185" 3.86 2.17 6.67 15.3
"s186" 1.12 15.5 35.1 6.02
"s187" 4.35 8.46 15.9 28.2
"s188" 3.77 19.4 63.8 14
"s189" 3.95 5.02 3.6 67.1
"s190" 4.1 4.99 56 4.45
"s191" 1.45 11.5 51.3 3.94
"s192" 0.178 1.09 53.7 0.0438
"s193" 1.82 16.1 5.79 61.5
"s194" 0.878 2.53 48.5 0.558
"s195" 4.23 18.5 16 59.5
"s196" 4.82 11 71.1 9.07
"s197" 3.23 16.9 49.1 13.5
"s198" 0.692 11.7 1.17 84.1
"s199" 2.68 15.2 8.49 58.7
"s200" 3.87 19.9 28.5 32.9
"s201" 3.6 17.5 26.3 29.3
"s202" 2.18 17 69.3 6.51
"s203" 1.31 15.9 34.6 7.31
"s204" 1.76 3.36 44 1.64
"s205" 1.88 19.9 42.5 10.7
"s206" 4.48 7.03 20.6 18.7
"s207" 2.37 11.4 66.4 4.94
"s208" 0.543 10.3 22.8 2.98
"s209" 3.32 18.4 4.57 163
"s210" 2.57 7.85 39.6 6.21
"s211" 2.07 13.1 41.9 7.91
"s212" 1.64 5.57 42.8 2.61
"s213" 4.54 15.6 60.3 14.3
"s214" 1.26 19 25.4 11.4
"s215" 1.33 9.9 8.14 19.7
"s216" 0.707 11.7 23.4 4.33
"s217" 3.38 16 0.548 1200
"s218" 3.77 18.6 39.3 21.8
"s219" 3.66 13 70.4 8.26
"s220" 1.71 3.09 68.1 0.949
"s221" 1.51 8.57 72.6 2.17
"s222" 4.44 19.5 33.1 31.9
"s223" 0.273 10.5 27.7 1.26
"s224" 0.311 19.1 68.6 1.05
"s225" 2.24 14.2 37.8 10.3
"s226" 4.82 14.9 45.8 19.1
"s227" 4.99 9.6 64.9 9
"s228" 1.77 12.7 6.65 41.3
"s229" 3.11 4.29 33.3 4.88
"s230" 0.872 5.6 10.8 5.53
"s231" 2.62 18.7 43.2 13.8
"s232" 0.232 15.1 15.9 2.69
"s233" 0.852 2.3 44.5 0.537
"s234" 1.56 3.6 63.5 1.08
"s235" 0.919 1.86 3.9 5.35
"s236" 2.75 16.8 21.4 26.2
"s237" 2.37 3.31 32.7 2.93
"s238" 2.07 2.62 14.2 4.68
"s239" 3.2 1.09 69.3 0.615
"s240" 4.34 5.37 10.6 26.9
"s241" 0.502 10.4 16.6 3.86
"s242" 2.63 15.1 24.6 19.7
"s243" 4.26 6.63 4.52 76.2
"s244" 2.44 14.3 22.4 19
"s245" 4.91 6.67 63.3 6.3
"s246" 3.06 11 70.3 5.83
"s247" 1.02 14.1 28.7 6.13
"s248" 3.52 4.35 28.8 6.48
"s249" 3.31 17.3 12.5 55.8
"s250" 0.371 1.44 67.4 0.0966
"s251" 1.5 11.5 20.2 10.4
"s252" 1.15 8.55 22 5.44
"s253" 0.605 15.5 0.33 347
"s254" 4.32 4.4 21.1 11
"s255" 2.44 1.21 53.3 0.675
"s256" 1.76 6.39 10.1 13.5
"s257" 2.22 2.42 32.2 2.03
"s258" 4.88 8.76 49.6 10.5
"s259" 1.66 17 39.4 8.73
"s260" 0.635 11.9 41.5 2.21
"s261" 3.66 7.33 55.8 5.86
"s262" 4.34 7.21 40.2 9.51
"s263" 2.92 4.7 23 7.27
"s264" 0.508 17.1 33.5 3.16
"s265" 0.58 15.9 7.08 15.9
"s266" 0.576 1.45 26.6 0.381
"s267" 3.81 15.7 37.8 19.2
"s268" 2.28 12.2 19.6 17.3
"s269" 0.775 18.1 36 4.75
"s270" 2.94 10.3 72.1 5.12
"s271" 3.64 16.9 32.1 23.4
"s272" 3.33 2.47 63.5 1.58
"s273" 2.63 5.56 33.8 5.27
"s274" 3.8 5.31 47.2 5.21
